"time","lat"
"2025/04/22 14:00:04 UTC","1513"
"2025/04/22 14:00:10 UTC","1510"
"2025/04/22 14:00:16 UTC","1572"
"2025/04/22 14:00:22 UTC","371"
"2025/04/22 14:00:28 UTC","146"
"2025/04/22 14:00:34 UTC","455"
"2025/04/22 14:00:40 UTC","484"
"2025/04/22 14:00:46 UTC","378"
"2025/04/22 14:00:52 UTC","442"
"2025/04/22 14:00:58 UTC","560"
"2025/04/22 14:01:04 UTC","649"
"2025/04/22 14:01:10 UTC","325"
"2025/04/22 14:01:16 UTC","248"
"2025/04/22 14:01:22 UTC","427"
"2025/04/22 14:01:28 UTC","664"
"2025/04/22 14:01:34 UTC","1518"
"2025/04/22 14:01:40 UTC","136"
"2025/04/22 14:01:46 UTC","130"
"2025/04/22 14:01:52 UTC","137"
"2025/04/22 14:01:58 UTC","160"
"2025/04/22 14:02:04 UTC","2942"
"2025/04/22 14:02:10 UTC","1016"
"2025/04/22 14:02:16 UTC","118"
"2025/04/22 14:02:22 UTC","120"
"2025/04/22 14:02:28 UTC","232"
"2025/04/22 14:02:34 UTC","239"
"2025/04/22 14:02:40 UTC","307"
"2025/04/22 14:02:46 UTC","369"
"2025/04/22 14:02:52 UTC","328"
"2025/04/22 14:02:58 UTC","409"
"2025/04/22 14:03:04 UTC","1480"
"2025/04/22 14:03:10 UTC","397"
"2025/04/22 14:03:16 UTC","118"
"2025/04/22 14:03:22 UTC","122"
"2025/04/22 14:03:28 UTC","152"
"2025/04/22 14:03:34 UTC","457"
"2025/04/22 14:03:40 UTC","417"
"2025/04/22 14:03:46 UTC","332"
"2025/04/22 14:03:52 UTC","268"
"2025/04/22 14:03:58 UTC","153"
"2025/04/22 14:04:04 UTC","2823"
"2025/04/22 14:04:10 UTC","149"
"2025/04/22 14:04:16 UTC","1540"
"2025/04/22 14:04:22 UTC","825"
"2025/04/22 14:04:28 UTC","107"
"2025/04/22 14:04:34 UTC","164"
"2025/04/22 14:04:40 UTC","265"
"2025/04/22 14:04:46 UTC","250"
"2025/04/22 14:04:52 UTC","294"
"2025/04/22 14:04:58 UTC","135"
"2025/04/22 14:05:04 UTC","162"
"2025/04/22 14:05:10 UTC","805"
"2025/04/22 14:05:16 UTC","231"
"2025/04/22 14:05:22 UTC","198"
"2025/04/22 14:05:28 UTC","205"
"2025/04/22 14:05:34 UTC","109"
"2025/04/22 14:05:40 UTC","149"
"2025/04/22 14:05:46 UTC","1455"
"2025/04/22 14:05:52 UTC","133"
"2025/04/22 14:05:58 UTC","117"
"2025/04/22 14:06:04 UTC","144"
"2025/04/22 14:06:10 UTC","116"
"2025/04/22 14:06:16 UTC","682"
"2025/04/22 14:06:22 UTC","206"
"2025/04/22 14:06:28 UTC","197"
"2025/04/22 14:06:34 UTC","213"
"2025/04/22 14:06:40 UTC","3181"
"2025/04/22 14:06:46 UTC","1868"
"2025/04/22 14:06:52 UTC","123"
"2025/04/22 14:06:58 UTC","123"
"2025/04/22 14:07:04 UTC","129"
"2025/04/22 14:07:10 UTC","295"
"2025/04/22 14:07:16 UTC","329"
"2025/04/22 14:07:22 UTC","204"
"2025/04/22 14:07:28 UTC","107"
"2025/04/22 14:07:34 UTC","162"
"2025/04/22 14:07:40 UTC","702"
"2025/04/22 14:07:46 UTC","506"
"2025/04/22 14:07:52 UTC","186"
"2025/04/22 14:07:58 UTC","149"
"2025/04/22 14:08:04 UTC","1006"
"2025/04/22 14:08:10 UTC","960"
"2025/04/22 14:08:16 UTC","162"
"2025/04/22 14:08:22 UTC","120"
"2025/04/22 14:08:28 UTC","149"
"2025/04/22 14:08:34 UTC","282"
"2025/04/22 14:08:40 UTC","375"
"2025/04/22 14:08:46 UTC","231"
"2025/04/22 14:08:52 UTC","233"
"2025/04/22 14:08:58 UTC","285"
"2025/04/22 14:09:04 UTC","638"
"2025/04/22 14:09:10 UTC","1715"
"2025/04/22 14:09:16 UTC","1415"
"2025/04/22 14:09:22 UTC","336"
"2025/04/22 14:09:28 UTC","148"
"2025/04/22 14:09:34 UTC","129"
"2025/04/22 14:09:40 UTC","141"
"2025/04/22 14:09:46 UTC","134"
"2025/04/22 14:09:52 UTC","831"
"2025/04/22 14:09:58 UTC","1201"
"2025/04/22 14:10:04 UTC","149"
"2025/04/22 14:10:10 UTC","117"
"2025/04/22 14:10:16 UTC","184"
"2025/04/22 14:10:22 UTC","386"
"2025/04/22 14:10:28 UTC","562"
"2025/04/22 14:10:34 UTC","246"
"2025/04/22 14:10:40 UTC","264"
"2025/04/22 14:10:46 UTC","345"
"2025/04/22 14:10:52 UTC","408"
"2025/04/22 14:10:58 UTC","130"
"2025/04/22 14:11:04 UTC","124"
"2025/04/22 14:11:10 UTC","175"
"2025/04/22 14:11:16 UTC","703"
"2025/04/22 14:11:22 UTC","220"
"2025/04/22 14:11:28 UTC","212"
"2025/04/22 14:11:34 UTC","551"
"2025/04/22 14:11:40 UTC","180"
"2025/04/22 14:11:46 UTC","174"
"2025/04/22 14:11:52 UTC","279"
"2025/04/22 14:11:58 UTC","121"
"2025/04/22 14:12:04 UTC","148"
"2025/04/22 14:12:10 UTC","120"
"2025/04/22 14:12:16 UTC","120"
"2025/04/22 14:12:22 UTC","143"
"2025/04/22 14:12:28 UTC","243"
"2025/04/22 14:12:34 UTC","176"
"2025/04/22 14:12:40 UTC","144"
"2025/04/22 14:12:46 UTC","262"
"2025/04/22 14:12:52 UTC","302"
"2025/04/22 14:12:58 UTC","545"
"2025/04/22 14:13:04 UTC","137"
"2025/04/22 14:13:10 UTC","125"
"2025/04/22 14:13:16 UTC","140"
"2025/04/22 14:13:22 UTC","129"
"2025/04/22 14:13:28 UTC","1009"
"2025/04/22 14:13:34 UTC","173"
"2025/04/22 14:13:40 UTC","145"
"2025/04/22 14:13:46 UTC","137"
"2025/04/22 14:13:52 UTC","466"
"2025/04/22 14:14:04 UTC","5353"
"2025/04/22 14:14:10 UTC","1264"
"2025/04/22 14:14:16 UTC","108"
"2025/04/22 14:14:22 UTC","153"
"2025/04/22 14:14:28 UTC","112"
"2025/04/22 14:14:34 UTC","136"
"2025/04/22 14:14:40 UTC","123"
"2025/04/22 14:14:46 UTC","1781"
"2025/04/22 14:14:52 UTC","197"
"2025/04/22 14:14:58 UTC","128"
"2025/04/22 14:15:04 UTC","137"
"2025/04/22 14:15:10 UTC","158"
"2025/04/22 14:15:16 UTC","200"
"2025/04/22 14:15:22 UTC","275"
"2025/04/22 14:15:28 UTC","205"
"2025/04/22 14:15:34 UTC","331"
"2025/04/22 14:15:40 UTC","186"
"2025/04/22 14:15:46 UTC","197"
"2025/04/22 14:15:52 UTC","255"
"2025/04/22 14:15:58 UTC","289"
"2025/04/22 14:16:04 UTC","759"
"2025/04/22 14:16:10 UTC","141"
"2025/04/22 14:16:16 UTC","109"
"2025/04/22 14:16:22 UTC","241"
"2025/04/22 14:16:28 UTC","4856"
"2025/04/22 14:16:34 UTC","874"
"2025/04/22 14:16:40 UTC","147"
"2025/04/22 14:16:46 UTC","113"
"2025/04/22 14:16:52 UTC","164"
"2025/04/22 14:16:58 UTC","326"
"2025/04/22 14:17:04 UTC","1541"
"2025/04/22 14:17:10 UTC","154"
"2025/04/22 14:17:16 UTC","124"
"2025/04/22 14:17:22 UTC","226"
"2025/04/22 14:17:28 UTC","377"
"2025/04/22 14:17:34 UTC","263"
"2025/04/22 14:17:40 UTC","177"
"2025/04/22 14:17:46 UTC","217"
"2025/04/22 14:17:52 UTC","211"
"2025/04/22 14:17:58 UTC","352"
"2025/04/22 14:18:04 UTC","401"
"2025/04/22 14:18:10 UTC","133"
"2025/04/22 14:18:16 UTC","109"
"2025/04/22 14:18:22 UTC","174"
"2025/04/22 14:18:28 UTC","120"
"2025/04/22 14:18:34 UTC","137"
"2025/04/22 14:18:40 UTC","702"
"2025/04/22 14:18:46 UTC","233"
"2025/04/22 14:18:52 UTC","152"
"2025/04/22 14:18:58 UTC","222"
"2025/04/22 14:19:04 UTC","380"
"2025/04/22 14:19:10 UTC","163"
"2025/04/22 14:19:16 UTC","893"
"2025/04/22 14:19:22 UTC","161"
"2025/04/22 14:19:28 UTC","120"
"2025/04/22 14:19:34 UTC","123"
"2025/04/22 14:19:40 UTC","119"
"2025/04/22 14:19:46 UTC","708"
"2025/04/22 14:19:52 UTC","236"
"2025/04/22 14:19:58 UTC","231"
"2025/04/22 14:20:04 UTC","589"
"2025/04/22 14:20:10 UTC","437"
"2025/04/22 14:20:16 UTC","237"
"2025/04/22 14:20:22 UTC","133"
"2025/04/22 14:20:28 UTC","163"
"2025/04/22 14:20:34 UTC","148"
"2025/04/22 14:20:40 UTC","124"
"2025/04/22 14:20:46 UTC","1007"
"2025/04/22 14:20:52 UTC","280"
"2025/04/22 14:20:58 UTC","179"
"2025/04/22 14:21:04 UTC","298"
"2025/04/22 14:21:10 UTC","522"
"2025/04/22 14:21:16 UTC","713"
"2025/04/22 14:21:22 UTC","292"
"2025/04/22 14:21:28 UTC","291"
"2025/04/22 14:21:34 UTC","2073"
"2025/04/22 14:21:40 UTC","1091"
"2025/04/22 14:21:46 UTC","117"
"2025/04/22 14:21:52 UTC","125"
"2025/04/22 14:21:58 UTC","195"
"2025/04/22 14:22:04 UTC","626"
"2025/04/22 14:22:10 UTC","172"
"2025/04/22 14:22:16 UTC","136"
"2025/04/22 14:22:22 UTC","130"
"2025/04/22 14:22:28 UTC","174"
"2025/04/22 14:22:34 UTC","545"
"2025/04/22 14:22:40 UTC","395"
"2025/04/22 14:22:46 UTC","242"
"2025/04/22 14:22:52 UTC","212"
"2025/04/22 14:22:58 UTC","143"
"2025/04/22 14:23:04 UTC","193"
"2025/04/22 14:23:10 UTC","1575"
"2025/04/22 14:23:16 UTC","144"
"2025/04/22 14:23:22 UTC","154"
"2025/04/22 14:23:28 UTC","145"
"2025/04/22 14:23:34 UTC","1193"
"2025/04/22 14:23:40 UTC","227"
"2025/04/22 14:23:46 UTC","157"
"2025/04/22 14:23:52 UTC","238"
"2025/04/22 14:23:58 UTC","310"
"2025/04/22 14:24:04 UTC","4399"
"2025/04/22 14:24:10 UTC","3799"
"2025/04/22 14:24:16 UTC","201"
"2025/04/22 14:24:22 UTC","118"
"2025/04/22 14:24:28 UTC","151"
"2025/04/22 14:24:34 UTC","124"
"2025/04/22 14:24:40 UTC","133"
"2025/04/22 14:24:46 UTC","1157"
"2025/04/22 14:24:52 UTC","220"
"2025/04/22 14:24:58 UTC","132"
"2025/04/22 14:25:04 UTC","145"
"2025/04/22 14:25:10 UTC","465"
"2025/04/22 14:25:16 UTC","346"
"2025/04/22 14:25:22 UTC","142"
"2025/04/22 14:25:28 UTC","320"
"2025/04/22 14:25:34 UTC","346"
"2025/04/22 14:25:40 UTC","275"
"2025/04/22 14:25:46 UTC","122"
"2025/04/22 14:25:52 UTC","107"
"2025/04/22 14:25:58 UTC","129"
"2025/04/22 14:26:04 UTC","434"
"2025/04/22 14:26:10 UTC","424"
"2025/04/22 14:26:16 UTC","178"
"2025/04/22 14:26:22 UTC","192"
"2025/04/22 14:26:28 UTC","357"
"2025/04/22 14:26:34 UTC","195"
"2025/04/22 14:26:40 UTC","565"
"2025/04/22 14:26:46 UTC","1547"
"2025/04/22 14:26:52 UTC","139"
"2025/04/22 14:26:58 UTC","143"
"2025/04/22 14:27:04 UTC","164"
"2025/04/22 14:27:10 UTC","380"
"2025/04/22 14:27:16 UTC","213"
"2025/04/22 14:27:22 UTC","200"
"2025/04/22 14:27:28 UTC","201"
"2025/04/22 14:27:34 UTC","230"
"2025/04/22 14:27:40 UTC","873"
"2025/04/22 14:27:46 UTC","668"
"2025/04/22 14:27:52 UTC","132"
"2025/04/22 14:27:58 UTC","137"
