"time","tps"
"2025-04-23 00:00:00 UTC","81"
"2025-04-23 00:00:03 UTC","66"
"2025-04-23 00:00:06 UTC","47"
"2025-04-23 00:00:09 UTC","51"
"2025-04-23 00:00:12 UTC","48"
"2025-04-23 00:00:15 UTC","49"
"2025-04-23 00:00:18 UTC","51"
"2025-04-23 00:00:21 UTC","43"
"2025-04-23 00:00:24 UTC","44"
"2025-04-23 00:00:27 UTC","37"
"2025-04-23 00:00:30 UTC","42"
"2025-04-23 00:00:33 UTC","40"
"2025-04-23 00:00:36 UTC","41"
"2025-04-23 00:00:39 UTC","43"
"2025-04-23 00:00:42 UTC","42"
"2025-04-23 00:00:45 UTC","39"
"2025-04-23 00:00:48 UTC","38"
"2025-04-23 00:00:51 UTC","46"
"2025-04-23 00:00:54 UTC","43"
"2025-04-23 00:00:57 UTC","40"
"2025-04-23 00:01:00 UTC","41"
"2025-04-23 00:01:03 UTC","44"
"2025-04-23 00:01:06 UTC","59"
"2025-04-23 00:01:09 UTC","73"
"2025-04-23 00:01:12 UTC","73"
"2025-04-23 00:01:15 UTC","68"
"2025-04-23 00:01:18 UTC","48"
"2025-04-23 00:01:22 UTC","43"
"2025-04-23 00:01:25 UTC","43"
"2025-04-23 00:01:28 UTC","45"
"2025-04-23 00:01:31 UTC","47"
"2025-04-23 00:01:34 UTC","40"
"2025-04-23 00:01:37 UTC","44"
"2025-04-23 00:01:40 UTC","40"
"2025-04-23 00:01:43 UTC","26"
"2025-04-23 00:01:46 UTC","26"
"2025-04-23 00:01:49 UTC","24"
"2025-04-23 00:01:52 UTC","23"
"2025-04-23 00:01:55 UTC","37"
"2025-04-23 00:01:58 UTC","26"
"2025-04-23 00:02:01 UTC","19"
"2025-04-23 00:02:04 UTC","24"
"2025-04-23 00:02:07 UTC","95"
"2025-04-23 00:02:10 UTC","73"
"2025-04-23 00:02:13 UTC","76"
"2025-04-23 00:02:16 UTC","61"
"2025-04-23 00:02:19 UTC","59"
"2025-04-23 00:02:22 UTC","50"
"2025-04-23 00:02:25 UTC","54"
"2025-04-23 00:02:28 UTC","56"
"2025-04-23 00:02:31 UTC","54"
"2025-04-23 00:02:34 UTC","57"
"2025-04-23 00:02:37 UTC","58"
"2025-04-23 00:02:40 UTC","54"
"2025-04-23 00:02:43 UTC","58"
"2025-04-23 00:02:46 UTC","55"
"2025-04-23 00:02:49 UTC","61"
"2025-04-23 00:02:52 UTC","59"
"2025-04-23 00:02:55 UTC","62"
"2025-04-23 00:02:58 UTC","63"
"2025-04-23 00:03:01 UTC","57"
"2025-04-23 00:03:04 UTC","59"
"2025-04-23 00:03:07 UTC","83"
"2025-04-23 00:03:10 UTC","80"
"2025-04-23 00:03:13 UTC","61"
"2025-04-23 00:03:16 UTC","63"
"2025-04-23 00:03:19 UTC","51"
"2025-04-23 00:03:22 UTC","51"
"2025-04-23 00:03:25 UTC","54"
"2025-04-23 00:03:28 UTC","56"
"2025-04-23 00:03:31 UTC","55"
"2025-04-23 00:03:34 UTC","50"
"2025-04-23 00:03:37 UTC","50"
"2025-04-23 00:03:40 UTC","54"
"2025-04-23 00:03:43 UTC","50"
"2025-04-23 00:03:46 UTC","52"
"2025-04-23 00:03:49 UTC","50"
"2025-04-23 00:03:52 UTC","50"
"2025-04-23 00:03:55 UTC","50"
"2025-04-23 00:03:58 UTC","57"
