"time","tps"
"2025-04-24 17:00:00 UTC","109"
"2025-04-24 17:00:03 UTC","92"
"2025-04-24 17:00:06 UTC","92"
"2025-04-24 17:00:09 UTC","93"
"2025-04-24 17:00:12 UTC","84"
"2025-04-24 17:00:15 UTC","95"
"2025-04-24 17:00:18 UTC","101"
"2025-04-24 17:00:21 UTC","105"
"2025-04-24 17:00:24 UTC","101"
"2025-04-24 17:00:27 UTC","107"
"2025-04-24 17:00:30 UTC","115"
"2025-04-24 17:00:33 UTC","118"
"2025-04-24 17:00:36 UTC","112"
"2025-04-24 17:00:39 UTC","106"
"2025-04-24 17:00:42 UTC","112"
"2025-04-24 17:00:45 UTC","105"
"2025-04-24 17:00:48 UTC","105"
"2025-04-24 17:00:51 UTC","111"
"2025-04-24 17:00:54 UTC","115"
"2025-04-24 17:00:57 UTC","109"
"2025-04-24 17:01:00 UTC","121"
"2025-04-24 17:01:03 UTC","120"
"2025-04-24 17:01:06 UTC","124"
"2025-04-24 17:01:09 UTC","129"
"2025-04-24 17:01:12 UTC","122"
"2025-04-24 17:01:15 UTC","123"
"2025-04-24 17:01:18 UTC","130"
"2025-04-24 17:01:21 UTC","133"
"2025-04-24 17:01:24 UTC","129"
"2025-04-24 17:01:27 UTC","128"
"2025-04-24 17:01:30 UTC","134"
"2025-04-24 17:01:33 UTC","126"
"2025-04-24 17:01:36 UTC","132"
"2025-04-24 17:01:39 UTC","129"
"2025-04-24 17:01:42 UTC","133"
"2025-04-24 17:01:45 UTC","109"
"2025-04-24 17:01:48 UTC","85"
"2025-04-24 17:01:51 UTC","76"
"2025-04-24 17:01:54 UTC","64"
"2025-04-24 17:01:57 UTC","76"
"2025-04-24 17:02:00 UTC","77"
"2025-04-24 17:02:03 UTC","72"
"2025-04-24 17:02:06 UTC","88"
"2025-04-24 17:02:09 UTC","94"
"2025-04-24 17:02:12 UTC","112"
"2025-04-24 17:02:15 UTC","114"
"2025-04-24 17:02:18 UTC","119"
"2025-04-24 17:02:21 UTC","121"
"2025-04-24 17:02:24 UTC","124"
"2025-04-24 17:02:27 UTC","105"
"2025-04-24 17:02:30 UTC","102"
"2025-04-24 17:02:33 UTC","115"
"2025-04-24 17:02:36 UTC","115"
"2025-04-24 17:02:39 UTC","122"
"2025-04-24 17:02:42 UTC","104"
"2025-04-24 17:02:45 UTC","108"
"2025-04-24 17:02:48 UTC","116"
"2025-04-24 17:02:51 UTC","114"
