"time,tps"
"14:00:01,93"
"14:00:04,75"
"14:00:07,73"
"14:00:10,63"
"14:00:13,53"
"14:00:16,64"
"14:00:19,66"
"14:00:22,75"
"14:00:25,87"
"14:00:28,92"
"14:00:31,89"
"14:00:34,98"
"14:00:37,93"
"14:00:40,91"
"14:00:43,90"
"14:00:46,99"
"14:00:49,99"
"14:00:52,105"
"14:00:55,97"
"14:00:58,106"
"14:01:01,101"
"14:01:04,94"
"14:01:07,95"
"14:01:10,101"
"14:01:13,105"
"14:01:16,110"
"14:01:19,102"
"14:01:22,106"
"14:01:25,94"
"14:01:28,69"
"14:01:31,62"
"14:01:34,68"
"14:01:37,68"
"14:01:40,91"
"14:01:43,88"
"14:01:46,99"
"14:01:49,104"
"14:01:52,103"
"14:01:55,109"
"14:01:58,103"
"14:02:01,96"
"14:02:04,55"
"14:02:07,60"
"14:02:10,66"
"14:02:13,93"
"14:02:16,89"
"14:02:19,82"
"14:02:22,87"
"14:02:25,92"
"14:02:28,96"
"14:02:31,97"
"14:02:34,98"
"14:02:37,99"
"14:02:40,95"
"14:02:43,94"
"14:02:46,100"
"14:02:49,102"
"14:02:52,100"
"14:02:55,103"
"14:02:58,103"
"14:03:01,97"
"14:03:04,70"
"14:03:07,89"
"14:03:10,76"
"14:03:13,95"
"14:03:16,94"
"14:03:19,97"
"14:03:22,96"
"14:03:25,101"
"14:03:28,98"
"14:03:31,102"
"14:03:34,99"
"14:03:37,96"
"14:03:40,98"
"14:03:43,97"
"14:03:46,103"
"14:03:49,95"
"14:03:52,97"
"14:03:55,97"
"14:03:58,97"
"14:04:01,77"
"14:04:04,54"
"14:04:07,67"
"14:04:10,75"
"14:04:13,87"
"14:04:16,64"
"14:04:19,56"
"14:04:22,77"
"14:04:25,82"
"14:04:28,91"
"14:04:31,88"
"14:04:34,102"
"14:04:37,104"
"14:04:40,105"
"14:04:43,101"
"14:04:46,108"
"14:04:49,95"
"14:04:52,101"
"14:04:55,98"
"14:04:58,97"
"14:05:01,99"
"14:05:04,94"
"14:05:07,85"
"14:05:10,99"
"14:05:13,117"
"14:05:16,104"
"14:05:19,95"
"14:05:22,102"
"14:05:25,97"
"14:05:28,103"
"14:05:31,102"
"14:05:34,103"
"14:05:37,115"
"14:05:40,113"
"14:05:43,66"
"14:05:46,80"
"14:05:49,85"
"14:05:52,90"
"14:05:55,88"
"14:05:58,94"
"14:06:01,91"
"14:06:04,91"
"14:06:07,96"
"14:06:10,91"
"14:06:13,99"
"14:06:16,97"
"14:06:19,95"
"14:06:22,98"
"14:06:25,95"
